_id,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,category,class,clean_text
{'$oid': '5a13282c741a2384e87a03de'},A1N56RVL39MAU8,1933054395,Lisa K.,"[0, 0]","I bought new toys for the house which included games,toys, and puzzles for my grandchildren (infant through 10), my 17 year old son, my husband, and me. The older grandchildren haven't tried this yet--they are too far away. This game uses a lot of brain power if you want to win, especially when you are first figuring it out. The scoring could not be done easily by 10 years old unless they had a fair amount of help at first.I like this game because there is a lot of strategy and as the board changes, you must adjust.If you like Rummy-cube, you might like this, but it is harder.I don't like that my 17 year old beats me!!",5.0,Fun game for ages 10+,1296086400,"01 27, 2011",Toys_and_Games,1,buy new toy house include game toy puzzle grandchild infant 10 17 year old son husband old grandchild try far away game use lot brain power want win especially figure scoring easily 10 year old fair help like game lot strategy board change adjust like rummy cube like hard like 17 year old beat
{'$oid': '5a13282c741a2384e87a0a6a'},A2PVSE7RLL07FT,1936112264,Kim M. Rodrigues,"[0, 0]",This game freaked out my brother-in-law.  It can be the game that never ends.  We have also nicknamed it &#34;Jumanji&#34;. My granddaughters love playing as do I.  I also enjoy Pirate Fluxx!,5.0,The game that never ends!,1372291200,"06 27, 2013",Toys_and_Games,1,game freak brother law   game end   nickname 34;jumanji&#34 granddaughter love play I.   enjoy Pirate Fluxx
{'$oid': '5a13282c741a2384e879d2b9'},A1ES9LULK0AN5L,1556347812,"James W. Fatora ""TMMP""","[0, 0]","Bought this as a ""Gag"" new baby gift for a coworker, thing is awesome looking.  Very soft and well stitched.  had to remove a few loose plastic threads but otherwise perfect.",4.0,ChibiCthulhu makes awesome gift,1304899200,"05 9, 2011",Toys_and_Games,1,buy Gag new baby gift coworker thing awesome look   soft stitch   remove loose plastic thread perfect
{'$oid': '5a13282b741a2384e879c46d'},A1U5MF00NXH3EK,0976990709,"Tisch Erdman ""TE""","[0, 0]","The Elf on the Shelf: Christmas Tradition with Blue Eyed North Pole. Great Christmas idea, wish I would had this for my kids when they were young. I purchased it for my daughter in-law to do with our grandsons and they all had a great time with it. It arrived very fast. Great buy and very satisfied, would buy again.",5.0,The Elf on the Shelf: Christmas Tradition with Blue Eyed North Pole,1360281600,"02 8, 2013",Toys_and_Games,1,Elf shelf Christmas Tradition Blue Eyed North Pole great Christmas idea wish kid young purchase daughter law grandson great time arrive fast great buy satisfied buy
{'$oid': '5a13282c741a2384e879d20c'},A3VSBJEA4KBGBP,1556347642,El_Tonio,"[0, 0]","I originally wrote this review forMunchkin 5 DeRanged.  So, please excuse me if you read it twice (but, I thought I'd include it here as well since I didn't know where folks would start).De-Ranged is a 112 card expansion for the Fantasy Munchkin theme. It contains 60 door cards and 52 treasure cards. It does not introduce any new races, but it does introduce a new class: Ranger... bringing total number of races to 6. You don't need a ton of expansions to get the most out of the base game, but the base game and least two are definitely worthwhile investment.As noted in my other reviews, I own all of the Fantasy Munchkin expansions, and if I were to recommend an order to get the most new variety for your dollar, this one would be near the bottom of the list (still worthwhile, but there are several that I'd get before this one). Instead, I would suggest Munchkin Clerical Errors as it adds a race and a class, followed by Munchkin 8 Half Horse, Will Travel Card Game as it adds two races and three race/class enhancers, followed by the ones that are most interesting to you after that.",4.0,A worthwhile (though not the best) Fantasy Munchkin expansion,1400371200,"05 18, 2014",Toys_and_Games,1,originally write review forMunchkin 5 derange   excuse read twice think include know folk start).de ranged 112 card expansion Fantasy Munchkin theme contain 60 door card 52 treasure card introduce new race introduce new class ranger bring total number race 6 need ton expansion base game base game definitely worthwhile investment note review Fantasy Munchkin expansion recommend order new variety dollar near list worthwhile instead suggest Munchkin Clerical error add race class follow Munchkin 8 Half horse Travel card Game add race race class enhancer follow one interesting
{'$oid': '5a13282c741a2384e879cb12'},A296LP680GZNSA,1223062341,Michelle N. Mills,"[0, 0]","This is a great game.  The frugal person in me, thought ummm just use a paper and pen.  But I am so glad I sprung for it.  My daughter knows her ABC's but it is hard for her to visualize all of the letters.  This game is really nice in that it provides a visual so that the player can look at the letters and see which ones they have already been used as well as have them all laid out to pick from.  We have fun playing it...I usually have her start out guessing which vowels and then we move to the consonants.  I don't have any problem with the elastic being too tight.  I also like that elastic holds the pen in place for storage instead of a clip that can easily pop the pen out.",5.0,Fun learning game,1294358400,"01 7, 2011",Toys_and_Games,1,great game   frugal person think ummm use paper pen   glad spring   daughter know ABC hard visualize letter   game nice provide visual player look letter one lay pick   fun play usually start guess vowel consonant   problem elastic tight   like elastic hold pen place storage instead clip easily pop pen
{'$oid': '5a13282c741a2384e879f958'},A395QUIHBKQXPD,192978001X,"Donald G. Hickey ""Don""","[0, 0]","I was introduced to this game by our son and Fluxx is a blast. With the rules changing constantly, it makes the game even more fun,",5.0,This game is the bomb,1355443200,"12 14, 2012",Toys_and_Games,1,introduce game son Fluxx blast rule change constantly make game fun
{'$oid': '5a13282b741a2384e879c460'},A18OTM40AHND1K,0976990709,tiffani ritt,"[0, 0]",I had waited for this until I could get it on sale. I cant wait until this fall and use this in December with my 3 year old.,5.0,cant wait to use,1368489600,"05 14, 2013",Toys_and_Games,1,wait sale not wait fall use December 3 year old
{'$oid': '5a13282c741a2384e87a16ac'},A22P066L4ND82W,8499000606,JustinThaBoss,"[0, 0]","this is the most amazing thing since NERF!!!it is super cool, and i will tell you this- IT CAN TAKE LICKS!! i've crashed this little thing just under a trillion times (becuz my flying isnt that well) an it has stood the test of time!!it is rediculous fun!!!!! i would recommend this product to everyone i knoww!!",5.0,Simply Beautiful,1327276800,"01 23, 2012",Toys_and_Games,1,amazing thing NERF!!!it super cool tell this- LICKS crash little thing trillion time becuz flying not stand test time!!it rediculous fun recommend product knoww
{'$oid': '5a13282c741a2384e87a00c3'},A17YJAHOWXCWOY,1932855785,wondermom,"[0, 0]",We have had this for about 2 months and both my boys love it. (ages 8 & 4)  The parts are soft and squishy but are fun to take out and put back inside the body form.  Great tool for learning.,5.0,Great learning tool,1362096000,"03 1, 2013",Toys_and_Games,1,2 month boy love age 8 4   part soft squishy fun inside body form   great tool learn
