_id,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,category,class,clean_text
{'$oid': '5a13282b741a2384e879a620'},A3C9CSW3TJITGT,0005069491,Renee,"[0, 0]","I love these felt nursery rhyme characters and scenes.  The quality of the felt is good, and the illustrations are detailed and pretty.  As noted, the figures and scenes are printed on 2 large sheets of flannel and each individual item needs to be cut out.  This process took me 2 hours of tiny cutting.  To me it does not lend itself to a book form but rather laying out the scenes separately or for use on a flannel board.  However, I love the quiet play it offers for my toddler, and as a former Kindergarten teacher, I understand the value of learning rhyme and its connection to future reading.  Overall, delightful product with some work involved.",4.0,Charming characters but busy work required,1377561600,"08 27, 2013",Toys_and_Games,1,love feel nursery rhyme character scene   quality felt good illustration detailed pretty   note figure scene print 2 large sheet flannel individual item need cut   process take 2 hour tiny cutting   lend book form lay scene separately use flannel board   love quiet play offer toddler Kindergarten teacher understand value learn rhyme connection future reading   overall delightful product work involve
{'$oid': '5a13282b741a2384e879a622'},A2GGHHME9B6W4O,0131358936,Dalilah G.,"[0, 0]",This is a great tool for any teacher using the Pre Calculus Enhanced with Graphing Utilities book (of any edition). Easy to use with a very extensive test bank. Excellent!,5.0,Great CD-ROM,1382400000,"10 22, 2013",Toys_and_Games,1,great tool teacher Pre Calculus enhance Graphing Utilities book edition easy use extensive test bank excellent
{'$oid': '5a13282b741a2384e879a61f'},AMEVO2LY6VEJA,0000191639,Nicole Soeder,"[0, 0]","Great product, thank you! Our son loved the puzzles.  They have large pieces yet they are still challenging for a 4 year old.",5.0,Puzzles,1388016000,"12 26, 2013",Toys_and_Games,1,great product thank son love puzzle   large piece challenge 4 year old
{'$oid': '5a13282b741a2384e879a623'},A1FSLDH43ORWZP,0133642984,Dayna English,"[0, 0]",Although not as streamlined as the Algebra I materials .. this is extremely helpful for first time teachers ...bulk of materials are prepared for presentations.,5.0,Algebra II -- presentation materials,1374278400,"07 20, 2013",Toys_and_Games,1,streamline Algebra material extremely helpful time teacher bulk material prepare presentation
{'$oid': '5a13282b741a2384e879a624'},A3NXHTSEBX9YHB,0279515766,marlenetbueras,"[0, 0]",i am glad to get it after 25 yr of waiting for her i ended up with 4 of her,5.0,my strawberry shortcake,1363564800,"03 18, 2013",Toys_and_Games,1,glad 25 yr wait end 4
{'$oid': '5a13282b741a2384e879a62b'},A2R5OO04DXXGZ2,0375829695,Jack Bowdoin,"[0, 0]",Nephew and Niece loved these! Highly recommended. Each page has a puzzle and on the back a Dr. Seuss blurbs. The puzzles don't look that cheap to me.,5.0,Great Puzzle!,1354665600,"12 5, 2012",Toys_and_Games,1,Nephew Niece love highly recommend page puzzle Dr. Seuss blurb puzzle look cheap
{'$oid': '5a13282b741a2384e879a62d'},A2WR3MP7IGOFBO,0375829695,M. Jimenez,"[0, 0]","Very cute. I liked that each of the puzzle frames have their own background color that corresponded with the backs of the puzzle pieces, Makes is so easy to sort if your child happens to take out pieces from all of the puzzles",5.0,Cute,1399852800,"05 12, 2014",Toys_and_Games,1,cute like puzzle frame background color correspond back puzzle piece make easy sort child happen piece puzzle
{'$oid': '5a13282b741a2384e879a62e'},A3K6F6HQIH3UJP,037585746X,Lindsay,"[1, 1]","Great coloring and activity book for young children!It arrived in plenty of time for my daughter's birthday, I would recommend it!",5.0,Very Cute Coloring Bookwith Activities!,1348531200,"09 25, 2012",Toys_and_Games,1,great coloring activity book young children!It arrive plenty time daughter birthday recommend
{'$oid': '5a13282b741a2384e879a628'},AUT7723O49VMN,0375829695,Cindy Lindy,"[1, 1]",I'm a 2nd grade teacher.  My students found the jigsaw puzzle book challenging and fun.  We ended up cutting it up to allow more to use the puzzles at one time.  A great activity for children when they have finished their work and or when a class is celebrating Dr. Seuss' Birthday!,4.0,challenging and fun,1237766400,"03 23, 2009",Toys_and_Games,1,2nd grade teacher   student find jigsaw puzzle book challenging fun   end cut allow use puzzle time   great activity child finish work class celebrate Dr. Seuss birthday
{'$oid': '5a13282b741a2384e879a62f'},A15KKP3QW57CMT,0425066169,Carlos J. Glanville,"[0, 0]","Complex game.  It takes a while to learn but when you play with multiple people, it really is a lot of fun.",5.0,Great game,1363392000,"03 16, 2013",Toys_and_Games,1,complex game   take learn play multiple people lot fun
